ID,Project,BAC,rCEAC,BACn,rCEACn,rTEACn,PD,AD,TP,TPn,dTPn,PV,EV,AC,WS,dWS,ddWS,WP,dWP,ddWP,ACn,dACn,TSn,TCn,CVn,SVn,dCVn,dSVn,CPI,SPI,CR,AVn,shift,num,den,I,ES,ESn,dESn,SVtn,dSVtn,SPIt,CRt,ED,cPF,sPF,F1,F2,F3,fCEACn,fTEACn
10,1,180759,191065,1,1.057015142,1.15,20,23,11,0.55,0.05,44685,24457,25679,0.247207608,0,-0.006920817,0.1353017,0.002771646,-0.004149171,0.142062083,0.002771646,-0.939588689,-15.55319149,-0.006760383,-0.111905908,0,0.002771646,0.952412477,0.54732013,0.521274521,-0.11866629,5,7585,21479,0.353135621,5.353135621,0.267656781,0.001166255,-0.282343219,0.048833745,0.486648693,0.463490287,0.301026071,0.945073948,1.220572032,0.431325688,0.306336061,0.302944805,1.049965245,2.054870412
11,1,180759,191065,1,1.057015142,1.15,20,23,12,0.6,0.05,46549,27930,29152,0.257519681,0.010312073,0.010312073,0.154515128,0.019213428,0.016441782,0.16127551,0.019213428,-0.934368119,-14.23649755,-0.006760383,-0.103004553,0,0.008901355,0.958081778,0.60001289,0.574861416,-0.109764936,5,11058,21479,0.514828437,5.514828437,0.275741422,0.008084641,-0.324258578,0.041915359,0.459569036,0.44030472,0.360007734,0.943895796,1.316833778,0.41211226,0.289894279,0.282353852,1.043752238,2.175951643
12,1,180759,191065,1,1.057015142,1.15,20,23,13,0.65,0.05,102423,28431,29653,0.566627388,0.309107707,0.298795634,0.157286774,0.002771646,-0.016441782,0.164047157,0.002771646,-0.983484701,-59.54991817,-0.006760383,-0.409340614,0,-0.306336061,0.958790004,0.277584136,0.266144895,-0.416100996,5,11559,21479,0.538153545,5.538153545,0.276907677,0.001166255,-0.373092323,0.048833745,0.426011811,0.408455866,0.180429689,0.943721656,1.446184645,0.409340614,0.306336061,0.315237416,1.042981253,2.347352758
13,1,180759,191065,1,1.057015142,1.15,20,23,14,0.7,0.05,122169,118517,124272,0.675866762,0.109239374,-0.199868333,0.655663065,0.498376291,0.495604645,0.687501037,0.523453881,0.57584885,0.365421373,-0.031837972,-0.020203697,-0.025077589,0.389136917,0.953690292,0.970106983,0.925181612,-0.052041669,13,16094,19746,0.81505115,13.81505115,0.690752557,0.41384488,-0.009247443,-0.36384488,0.986789368,0.941091441,0.679074888,0.931864117,0.687216539,-0.089035677,-0.189268584,-0.196809011,1.048558435,1.013387489
14,1,180759,191065,1,1.057015142,1.15,20,23,15,0.75,0.05,127255,118517,124272,0.704003673,0.028136912,-0.081102462,0.655663065,0,-0.498376291,0.687501037,0,-0.341382467,-0.518331885,-0.031837972,-0.048340608,0,-0.028136912,0.953690292,0.931334722,0.888204883,-0.08017858,13,16094,19746,0.81505115,13.81505115,0.690752557,0,-0.059247443,0.05,0.92100341,0.878352011,0.698501041,0.931864117,0.773118606,-0.089035677,0.309107707,0.797171925,1.048558435,1.08577231
15,1,180759,191065,1,1.057015142,1.15,20,23,16,0.8,0.05,170569,121851,128867,0.943626597,0.239622923,0.211486012,0.674107513,0.018444448,0.018444448,0.712921625,0.025420588,-0.85598752,-5.943842645,-0.038814112,-0.269519083,-0.00697614,-0.221178475,0.945556271,0.714379518,0.675486033,-0.308333195,13,19428,19746,0.983895473,13.98389547,0.699194774,0.008442216,-0.100805226,0.041557784,0.873993467,0.826410004,0.571503614,0.947104409,0.859443504,-0.107480125,0.290663259,0.280351186,1.057578518,1.144173312
16,1,180759,191065,1,1.057015142,1.15,20,23,17,0.85,0.05,170569,123540,131386,0.943626597,0,-0.239622923,0.683451446,0.009343933,-0.009100515,0.726857307,0.013935682,-0.833166769,-4.994009686,-0.043405861,-0.26017515,-0.004591749,0.009343933,0.940282831,0.724281669,0.681029618,-0.303581011,14,1371,5086,0.269563508,14.26956351,0.713478175,0.014283402,-0.136521825,0.035716598,0.839386089,0.789260328,0.615639419,0.95877947,0.955072749,-0.116824059,0.299763774,0.307896149,1.063509794,1.191346883
17,1,180759,191065,1,1.057015142,1.15,20,23,18,0.9,0.05,170569,168964,176988,0.943626597,0,0,0.934747371,0.251295924,0.241951991,0.979137968,0.252280661,3.999376947,0.799975075,-0.044390597,-0.008879226,-0.000984737,0.251295924,0.954663593,0.990590318,0.945680512,-0.053269823,15,41709,43314,0.962945006,15.96294501,0.79814725,0.084669075,-0.10185275,-0.034669075,0.886830278,0.84662458,0.891531286,0.837891596,0.807410999,-0.368119983,0.057811783,0.056843643,1.047489406,1.127611477
18,1,180759,191065,1,1.057015142,1.15,20,23,19,0.95,0.05,170569,170569,178593,0.943626597,0,0,0.943626597,0.008879226,-0.242416698,0.988017194,0.008879226,1,1,-0.044390597,0,0,0.008879226,0.955071027,1,0.955071027,-0.044390597,19,0,10190,0,19,0.95,0.15185275,0,-0.10185275,1,0.955071027,0.95,0.817030148,0.25,-0.376999209,0.300228481,0.541212332,1.047042546,1
19,1,180759,191065,1,1.057015142,1.15,20,23,20,1,0.05,180759,170569,178593,1,0.056373403,0.056373403,0.943626597,0,-0.008879226,0.988017194,0,-0.212561335,-0.269940179,-0.044390597,-0.056373403,0,-0.056373403,0.955071027,0.943626597,0.901230423,-0.100764001,19,0,10190,0,19,0.95,0,-0.05,0.05,0.95,0.907317476,0.943626597,0.817030148,0.333333333,-0.376999209,0.309107707,0.30767486,1.047042546,1.052631579
20,1,180759,191065,1,1.057015142,1.15,20,23,21,1.05,0.05,180759,170569,178593,1,0,-0.056373403,0.943626597,0,0,0.988017194,0,-0.212561335,-0.269940179,-0.044390597,-0.056373403,0,0,0.955071027,0.943626597,0.901230423,-0.100764001,19,0,10190,0,19,0.95,0,-0.1,0.05,0.904761905,0.864111882,0.990807927,0.817030148,0.5,-0.376999209,0.309107707,0.298795634,1.047042546,1.105263158
21,1,180759,191065,1,1.057015142,1.15,20,23,22,1.1,0.05,180759,172251,181673,1,0,0,0.952931804,0.009305207,0.009305207,1.005056456,0.017039262,0.107428303,0.097007005,-0.052124652,-0.047068196,-0.007734055,0.009305207,0.948137588,0.952931804,0.903510462,-0.099192848,19,1682,10190,0.165063788,19.16506379,0.958253189,0.008253189,-0.141746811,0.041746811,0.871139263,0.82595988,1.048224985,0.905877342,0.834936212,-0.386304416,0.299802499,0.289490426,1.054699247,1.147922086
22,1,180759,191065,1,1.057015142,1.15,20,23,23,1.15,0.05,180759,180759,191065,1,0,0,1,0.047068196,0.037762988,1.057015142,0.051958685,1,1,-0.057015142,0,-0.00489049,0.047068196,0.946060241,1,0.946060241,-0.057015142,19,10190,10190,1,20,1,0.041746811,-0.15,0.008253189,0.869565217,0.822661079,1.15,1,1,-0.433372612,0.262039511,0.261032646,1.057015142,1.15
23,2,484398,494948,1,1.021779611,1.051282051,39,41,1,0.025641026,0.025641026,39005,38968,39005,0.080522628,0.080522628,0.080522628,0.080446245,0.080446245,0.080446245,0.080522628,0.080522628,0,0,-7.64E-05,-7.64E-05,-7.64E-05,-7.64E-05,0.999051404,0.999051404,0.998103707,-0.000152767,0,38968,39005,0.999051404,0.999051404,0.025616703,0.025616703,-2.43E-05,2.43E-05,0.999051404,0.998103707,0.025616703,0.976942293,0.950023715,0.226951804,0.107066916,0.090743562,1.000949497,1.000949497
24,2,484398,494948,1,1.021779611,1.051282051,39,41,2,0.051282051,0.025641026,42725,42651,42725,0.088202263,0.007679635,-0.072842993,0.088049496,0.007603252,-0.072842993,0.088202263,0.007679635,0,0,-0.000152767,-0.000152767,-7.64E-05,-7.64E-05,0.998267993,0.998267993,0.996538986,-0.000305534,1,3646,3720,0.980107527,1.980107527,0.050771988,0.025155285,-0.000510063,0.00048574,0.990053763,0.988338983,0.05119323,0.976834438,0.949228012,0.219348552,0.179909909,0.244032799,1.001735012,1.010046158
25,2,484398,494948,1,1.021779611,1.051282051,39,41,3,0.076923077,0.025641026,46445,46334,46445,0.095881899,0.007679635,0,0.095652748,0.007603252,0,0.095881899,0.007679635,0,0,-0.00022915,-0.00022915,-7.64E-05,-7.64E-05,0.997610076,0.997610076,0.995225865,-0.000458301,2,3609,3720,0.97016129,2.97016129,0.076157982,0.025385994,-0.000765095,0.000255032,0.990053763,0.987687611,0.076739237,0.976724793,0.94815365,0.2117453,0.179909909,0.171189807,1.002395649,1.010046158
26,2,484398,494948,1,1.021779611,1.051282051,39,41,4,0.102564103,0.025641026,50165,48729,49235,0.103561534,0.007679635,0,0.10059703,0.004944281,-0.002658971,0.101641625,0.005759727,-0.647632312,-1.837944664,-0.001044596,-0.002964504,-0.000815445,-0.002735354,0.989722758,0.971374464,0.961391414,-0.0040091,3,2284,3720,0.613978495,3.613978495,0.092666115,0.016508133,-0.009897987,0.009132892,0.903494624,0.894209191,0.09962815,0.97746532,0.95637896,0.206801019,0.182568879,0.173848777,1.01038396,1.106813448
27,2,484398,494948,1,1.021779611,1.051282051,39,41,5,0.128205128,0.025641026,58072,50695,51715,0.119884888,0.016323354,0.008643719,0.104655676,0.004058646,-0.000885635,0.106761382,0.005119757,-0.861732412,-6.232352941,-0.002105706,-0.015229212,-0.001061111,-0.012264708,0.980276516,0.87296804,0.855750068,-0.017334919,4,530,7907,0.067029215,4.067029215,0.1042828,0.011616685,-0.023922328,0.014024341,0.813405843,0.797362645,0.111918979,0.978498893,0.9703603,0.202742373,0.183454515,0.172075442,1.020120327,1.229398594
28,2,484398,494948,1,1.021779611,1.051282051,39,41,6,0.153846154,0.025641026,148903,57653,59095,0.307398049,0.187513161,0.171189807,0.119019897,0.014364221,0.010305575,0.121996788,0.015235406,-0.98419726,-62.28016644,-0.002976891,-0.188378152,-0.000871184,-0.17314894,0.975598612,0.387184946,0.377737096,-0.191355043,4,7488,7907,0.947008979,4.947008979,0.126846384,0.022563584,-0.02699977,0.003077442,0.824501497,0.804382516,0.059566915,0.979103046,0.972942601,0.188378152,0.17314894,0.160884232,1.025011708,1.212854075
29,2,484398,494948,1,1.021779611,1.051282051,39,41,7,0.179487179,0.025641026,152003,147599,149492,0.313797745,0.006399696,-0.181113465,0.304706048,0.185686151,0.171321929,0.308613991,0.186617203,-0.570163488,-1.326465927,-0.003907943,-0.009091697,-0.000931053,0.179286455,0.987337115,0.971026888,0.958730886,-0.012999641,5,89527,90831,0.985643668,5.985643668,0.153478043,0.026631659,-0.026009137,-0.000990633,0.855091953,0.844264022,0.174286877,0.974940369,0.97101048,0.002692001,0.00182701,-0.000132123,1.01282529,1.169464871
30,2,484398,494948,1,1.021779611,1.051282051,39,41,8,0.205128205,0.025641026,155103,149825,152592,0.320197441,0.006399696,0,0.309301442,0.004595395,-0.181090756,0.315013687,0.006399696,-0.47574839,-0.907481026,-0.005712245,-0.010895999,-0.001804301,-0.001804301,0.981866677,0.965971,0.948454736,-0.016608244,6,922,3100,0.297419355,6.297419355,0.161472291,0.007994248,-0.043655914,0.017646777,0.787177419,0.772903277,0.198147897,0.977266354,0.990987292,-0.001903393,0.182917766,0.352280563,1.018468213,1.270361643
31,2,484398,494948,1,1.021779611,1.051282051,39,41,9,0.230769231,0.025641026,158203,152050,155692,0.326597137,0.006399696,0,0.313894772,0.00459333,-2.06E-06,0.321413383,0.006399696,-0.408093613,-0.689456343,-0.007518611,-0.012702365,-0.001806366,-0.001806366,0.976607661,0.961106932,0.938624393,-0.020220975,7,47,3100,0.01516129,7.01516129,0.179875931,0.018403639,-0.0508933,0.007237386,0.779462366,0.761228918,0.221793907,0.979637796,0.99952621,-0.006496724,0.18291983,0.171191871,1.023952647,1.282935577
32,2,484398,494948,1,1.021779611,1.051282051,39,41,10,0.256410256,0.025641026,161303,154276,158792,0.332996833,0.006399696,0,0.318490167,0.004595395,2.06E-06,0.327813079,0.006399696,-0.35733599,-0.556023029,-0.009322912,-0.014506666,-0.001804301,-0.001804301,0.97156028,0.956436024,0.929235252,-0.023829578,7,2273,3100,0.733225806,7.733225806,0.198287841,0.018411911,-0.058122415,0.007229115,0.773322581,0.751329503,0.245240006,0.982050001,1.008605619,-0.011092118,0.182917766,0.171187742,1.029272213,1.293121428
33,2,484398,494948,1,1.021779611,1.051282051,39,41,11,0.282051282,0.025641026,164403,156502,161892,0.339396529,0.006399696,0,0.323085562,0.004595395,0,0.334212775,0.006399696,-0.317807872,-0.465862709,-0.011127214,-0.016310967,-0.001804301,-0.001804301,0.966706199,0.951941266,0.920247523,-0.027438181,8,1399,3100,0.451290323,8.451290323,0.216699752,0.018411911,-0.06535153,0.007229115,0.76829912,0.742719522,0.268496255,0.98450711,1.018290323,-0.015687513,0.182917766,0.171189807,1.034440454,1.301576396
34,2,484398,494948,1,1.021779611,1.051282051,39,41,12,0.307692308,0.025641026,167503,158727,164992,0.345796225,0.006399696,0,0.327678892,0.00459333,-2.06E-06,0.340612472,0.006399696,-0.28612124,-0.400798085,-0.012933579,-0.018117333,-0.001806366,-0.001806366,0.962028462,0.947606909,0.911624817,-0.031050913,9,524,3100,0.169032258,9.169032258,0.235103391,0.018403639,-0.072588916,0.007237386,0.764086022,0.7350725,0.291571356,0.98701342,1.02865406,-0.020280843,0.18291983,0.171191871,1.039470285,1.308753166
35,2,484398,494948,1,1.021779611,1.051282051,39,41,13,0.333333333,0.025641026,170603,160953,168092,0.352195922,0.006399696,0,0.332274287,0.004595395,2.06E-06,0.347012168,0.006399696,-0.260207254,-0.351729934,-0.014737881,-0.019921635,-0.001804301,-0.001804301,0.95752921,0.94343593,0.903367461,-0.034659516,9,2750,3100,0.887096774,9.887096774,0.253515302,0.018411911,-0.079818031,0.007229115,0.760545906,0.72824492,0.314478643,0.989564212,1.039746544,-0.024876238,0.182917766,0.171187742,1.044354563,1.314845024
36,2,484398,494948,1,1.021779611,1.051282051,39,41,14,0.358974359,0.025641026,173703,163179,171192,0.358595618,0.006399696,0,0.336869682,0.004595395,0,0.353411864,0.006399696,-0.238597491,-0.313365781,-0.016542182,-0.021725936,-0.001804301,-0.001804301,0.953192906,0.939413827,0.895442596,-0.038268118,10,1876,3100,0.60516129,10.60516129,0.271927213,0.018411911,-0.087047146,0.007229115,0.757511521,0.722054608,0.337225476,0.992163852,1.051660693,-0.029471633,0.182917766,0.171189807,1.049105583,1.320111936
37,2,484398,494948,1,1.021779611,1.051282051,39,41,15,0.384615385,0.025641026,176803,165404,174292,0.364995314,0.006399696,0,0.341463012,0.00459333,-2.06E-06,0.35981156,0.006399696,-0.220282481,-0.282515752,-0.018348548,-0.023532302,-0.001806366,-0.001806366,0.949005118,0.935527112,0.887820017,-0.04188085,11,1001,3100,0.322903226,11.32290323,0.290330852,0.018403639,-0.094284533,0.007237386,0.754860215,0.716366207,0.35981812,0.994816875,1.064503722,-0.034064963,0.18291983,0.171191871,1.053735097,1.324748583
38,2,484398,494948,1,1.021779611,1.051282051,39,41,16,0.41025641,0.025641026,197908,167630,177392,0.408564858,0.043569544,0.037169848,0.346058407,0.004595395,2.06E-06,0.366211256,0.006399696,-0.677587687,-2.101618521,-0.02015285,-0.062506451,-0.001804301,-0.038974149,0.944969333,0.847009722,0.800398212,-0.082659301,12,127,3100,0.040967742,12.04096774,0.308742763,0.018411911,-0.101513648,0.007229115,0.752560484,0.711146579,0.347491168,0.997518548,1.07836129,-0.038660358,0.182917766,0.171187742,1.058235399,1.328796849
39,2,484398,494948,1,1.021779611,1.051282051,39,41,17,0.435897436,0.025641026,201008,169856,180492,0.414964554,0.006399696,-0.037169848,0.350653801,0.004595395,0,0.372610952,0.006399696,-0.658577298,-1.928920647,-0.021957151,-0.064310753,-0.001804301,-0.001804301,0.94107218,0.845021094,0.795225843,-0.086267904,12,2353,3100,0.759032258,12.75903226,0.327154673,0.018411911,-0.108742763,0.007229115,0.750531309,0.706304136,0.368342528,1.000273488,1.093373656,-0.043255753,0.182917766,0.171189807,1.062617747,1.332389452
40,2,484398,494948,1,1.021779611,1.051282051,39,41,18,0.461538462,0.025641026,257849,172081,183592,0.532308143,0.117343589,0.110943893,0.355247131,0.00459333,-2.06E-06,0.379010648,0.006399696,-0.865789105,-6.450959951,-0.023763517,-0.177061012,-0.001806366,-0.112750259,0.93730119,0.667371213,0.625527832,-0.200824529,13,1478,3100,0.476774194,13.47677419,0.345558313,0.018403639,-0.115980149,0.007237386,0.748709677,0.701766471,0.308017483,1.003086499,1.10970547,-0.047849083,0.18291983,0.171191871,1.066892917,1.335631193
41,2,484398,494948,1,1.021779611,1.051282051,39,41,19,0.487179487,0.025641026,261392,174307,186692,0.539622377,0.007314233,-0.110029356,0.359842526,0.004595395,2.06E-06,0.385410344,0.006399696,-0.857782626,-6.031489705,-0.025567818,-0.17977985,-0.001804301,-0.002718839,0.933660789,0.666841372,0.622603642,-0.205347669,14,604,3100,0.19483871,14.19483871,0.363970223,0.018411911,-0.123209264,0.007229115,0.747096774,0.697534964,0.324871438,1.005952844,1.127507331,-0.052444477,0.182917766,0.171187742,1.071052798,1.33851468
42,2,484398,494948,1,1.021779611,1.051282051,39,41,20,0.512820513,0.025641026,264935,176532,189792,0.54693661,0.007314233,0,0.364435856,0.00459333,-2.06E-06,0.391810041,0.006399696,-0.85000509,-5.666892911,-0.027374184,-0.182500754,-0.001806366,-0.002720903,0.930134041,0.666321928,0.619768708,-0.209874938,14,2829,3100,0.912580645,14.91258065,0.382373863,0.018403639,-0.13044665,0.007237386,0.745629032,0.693534945,0.341703553,1.008880704,1.147019969,-0.057037808,0.18291983,0.171191871,1.07511386,1.341149495
43,2,484398,494948,1,1.021779611,1.051282051,39,41,21,0.538461538,0.025641026,296140,224149,237777,0.611356777,0.064420167,0.057105934,0.462737253,0.098301397,0.093708067,0.490871143,0.099061103,-0.81069856,-4.282579982,-0.02813389,-0.148619524,-0.000759706,0.03388123,0.942685794,0.756902141,0.713520896,-0.176753414,17,23141,56841,0.407118101,17.4071181,0.446336362,0.063962499,-0.092125177,-0.038321473,0.828910386,0.781402045,0.407562691,1.01196869,1.079644095,-0.155339205,0.089211764,0.07748174,1.060798844,1.206403029
44,2,484398,494948,1,1.021779611,1.051282051,39,41,22,0.564102564,0.025641026,299860,229697,243357,0.619036412,0.007679635,-0.056740532,0.474190645,0.011453392,-0.086848005,0.502390596,0.011519453,-0.805310491,-4.136383602,-0.028199951,-0.144845767,-6.61E-05,0.003773756,0.943868473,0.76601414,0.723016597,-0.173045719,17,28689,56841,0.504723703,17.5047237,0.448839069,0.002502708,-0.115263495,0.023138318,0.795669259,0.751007129,0.43211054,1.012361332,1.131330331,-0.166792596,0.176059769,0.258037812,1.059469649,1.256803613
45,2,484398,494948,1,1.021779611,1.051282051,39,41,23,0.58974359,0.025641026,329775,264041,277825,0.68079348,0.061757068,0.054077432,0.54509102,0.070900375,0.059446984,0.573546959,0.071156363,-0.790306386,-3.768862449,-0.028455939,-0.13570246,-0.000255988,0.009143308,0.950386034,0.800670154,0.760945732,-0.164158399,19,2649,3543,0.747671465,19.74767146,0.50635055,0.057511481,-0.083393039,-0.031870455,0.858594412,0.815996138,0.472190091,1.014894783,1.069573808,-0.237692971,0.116612785,0.111742823,1.052204014,1.16469428
46,2,484398,494948,1,1.021779611,1.051282051,39,41,24,0.615384615,0.025641026,333495,267428,281368,0.688473115,0.007679635,-0.054077432,0.552083204,0.006992184,-0.063908191,0.580861193,0.007314233,-0.789002074,-3.73938307,-0.028777988,-0.136389911,-0.000322049,-0.000687451,0.950456342,0.801895081,0.762166265,-0.165167899,20,2493,31205,0.079891043,20.07989104,0.514869001,0.008518451,-0.100515614,0.017122575,0.836662127,0.795210824,0.493473896,1.015872273,1.112947586,-0.244685156,0.180520977,0.235097998,1.05212618,1.195225609
47,2,484398,494948,1,1.021779611,1.051282051,39,41,25,0.641025641,0.025641026,346584,268893,282740,0.715494284,0.027021169,0.019341533,0.555107577,0.003024373,-0.003967812,0.583693574,0.002832382,-0.821768287,-4.610673792,-0.028585997,-0.160386707,0.000191991,-0.023996796,0.951025677,0.775837892,0.737841757,-0.188972704,20,3958,31205,0.126838648,20.12683865,0.516072786,0.001203785,-0.124952855,0.024437241,0.805073546,0.765645614,0.497331982,1.015536643,1.179572585,-0.247709528,0.184488788,0.175157618,1.05149632,1.242122543
48,2,484398,494948,1,1.021779611,1.051282051,39,41,26,0.666666667,0.025641026,367533,307774,319348,0.758741778,0.043247495,0.016226326,0.635374217,0.08026664,0.077242268,0.659267792,0.075574218,-0.80632206,-4.163210645,-0.023893575,-0.123367561,0.004692422,0.037019145,0.963757406,0.837405077,0.807055344,-0.147261137,22,7914,29915,0.264549557,22.26454956,0.570885886,0.0548131,-0.095780781,-0.029172075,0.856328829,0.825293251,0.558270051,1.005831435,1.115696696,-0.327976168,0.10724652,0.093947539,1.037605516,1.167775703
49,2,484398,494948,1,1.021779611,1.051282051,39,41,27,0.692307692,0.025641026,394226,344472,356194,0.813847291,0.055105512,0.011858018,0.711134233,0.075760016,-0.004506625,0.735333342,0.076065549,-0.764400852,-3.244497526,-0.024199109,-0.102713058,-0.000305534,0.020654503,0.967090967,0.873793205,0.845037516,-0.126912167,24,10977,13089,0.838643135,24.83864314,0.636888286,0.066002399,-0.055419407,-0.040361374,0.919949746,0.889675089,0.604933757,1.008446603,1.01152549,-0.403736184,0.111753145,0.175696431,1.034028891,1.087015899
50,2,484398,494948,1,1.021779611,1.051282051,39,41,28,0.717948718,0.025641026,397946,370521,381963,0.821526926,0.007679635,-0.047425877,0.76491026,0.053776027,-0.021983988,0.788531332,0.05319799,-0.582789426,-1.396871176,-0.023621072,-0.056616666,0.000578037,0.046096392,0.970044219,0.931083614,0.903192277,-0.080237738,26,2988,26693,0.11193946,26.11193946,0.669536909,0.032648624,-0.048411809,-0.007007598,0.932569266,0.904633426,0.668470287,1.007894853,0.991389272,-0.457512211,0.133737134,0.193173795,1.030880841,1.072306408
51,2,484398,494948,1,1.021779611,1.051282051,39,41,29,0.743589744,0.025641026,401666,398706,409866,0.829206562,0.007679635,0,0.823095884,0.058185624,0.004409597,0.84613479,0.057603458,2.77027027,0.734767025,-0.023038906,-0.006110678,0.000582166,0.050505989,0.972771589,0.992630693,0.965602936,-0.029149584,28,760,3720,0.204301075,28.20430108,0.723187207,0.053650298,-0.020402537,-0.028009272,0.972562106,0.946080785,0.738110003,1.007169554,0.899641577,-0.515697835,0.129327536,0.16678021,1.027990549,1.028211971
52,2,484398,494948,1,1.021779611,1.051282051,39,41,30,0.769230769,0.025641026,416810,402591,413400,0.860470109,0.031263548,0.023583912,0.831116148,0.008020264,-0.05016536,0.853430444,0.007295654,-0.239819959,-0.315477843,-0.022314295,-0.029353961,0.000724611,-0.023243283,0.973853411,0.965886135,0.940631507,-0.051668256,29,925,15144,0.061080296,29.0610803,0.745155905,0.021968698,-0.024074864,0.003672328,0.968702677,0.943374406,0.742989335,1.003176044,0.903538155,-0.5237181,0.179492896,0.221355167,1.026848588,1.032308493
